epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.265,1.12145,2.50286,1.47195,0.46702,0.37582,0.35769,0.20754,1.28265,2.23359,1.53599,0.000302076,0.000302076,0.000302076
2,219.018,1.15381,1.85115,1.46658,0.70867,0.36675,0.42059,0.25195,1.29481,1.54614,1.5591,0.000575125,0.000575125,0.000575125
3,324.474,1.14688,1.66327,1.45695,0.68151,0.38783,0.42541,0.25536,1.34535,1.55223,1.59104,0.000818177,0.000818177,0.000818177
4,429.408,1.123,1.50937,1.43279,0.73073,0.44253,0.46651,0.30833,1.13236,1.31314,1.39413,0.000774013,0.000774013,0.000774013
5,533.67,1.08545,1.41923,1.41394,0.35696,0.4445,0.42736,0.27494,1.12291,1.40825,1.38238,0.000729018,0.000729018,0.000729018
6,637.458,1.04723,1.34407,1.39521,0.82951,0.37259,0.43079,0.27547,1.14241,1.44253,1.40172,0.000684022,0.000684022,0.000684022
7,741.782,1.0262,1.31028,1.38005,0.79904,0.49193,0.54598,0.37657,1.06809,1.2021,1.36963,0.000639027,0.000639027,0.000639027
8,846.972,0.99039,1.22909,1.35765,0.72594,0.51176,0.5527,0.33372,1.07253,1.12073,1.33258,0.000594031,0.000594031,0.000594031
9,953.497,0.96649,1.19825,1.34175,0.77662,0.5586,0.60132,0.38699,1.03675,1.07408,1.31095,0.000549036,0.000549036,0.000549036
10,1062.54,0.93861,1.15156,1.31937,0.67272,0.567,0.61516,0.43505,0.99174,1.15764,1.26763,0.00050404,0.00050404,0.00050404
11,1168.09,0.95144,1.16725,1.3968,0.82098,0.57315,0.62576,0.44152,0.95999,1.04521,1.24087,0.000459045,0.000459045,0.000459045
12,1270.18,0.90379,1.0802,1.3587,0.84608,0.53211,0.61968,0.42327,0.97681,1.03509,1.23299,0.000414049,0.000414049,0.000414049
13,1373.64,0.87597,1.01967,1.33311,0.77457,0.61109,0.63212,0.43792,0.91355,0.94593,1.20038,0.000369054,0.000369054,0.000369054
14,1475.69,0.84743,0.9847,1.31169,0.88521,0.53479,0.65572,0.45214,0.91853,0.99156,1.20165,0.000324058,0.000324058,0.000324058
15,1578.09,0.82273,0.94812,1.29345,0.90364,0.54562,0.66055,0.46381,0.86615,0.90639,1.15162,0.000279063,0.000279063,0.000279063
16,1680.65,0.79785,0.8972,1.27249,0.82693,0.59318,0.64693,0.47391,0.86984,0.92488,1.14533,0.000234068,0.000234068,0.000234068
17,1788.01,0.77848,0.86307,1.25379,0.84844,0.61638,0.66732,0.47,0.85465,0.92786,1.14048,0.000189072,0.000189072,0.000189072
18,1887.91,0.7499,0.82538,1.23047,0.80528,0.63081,0.67112,0.48263,0.85096,0.88358,1.12807,0.000144077,0.000144077,0.000144077
19,1991.81,0.72936,0.79456,1.21323,0.87394,0.56262,0.66896,0.4761,0.83476,0.87772,1.11733,9.9081e-05,9.9081e-05,9.9081e-05
20,2094.57,0.7109,0.77993,1.20502,0.9216,0.55741,0.683,0.49243,0.81349,0.84374,1.10025,5.40855e-05,5.40855e-05,5.40855e-05
